NAME,Density (g/cm3),Pore limiting diameter (A),Largest cavity diameter (A),Volum. Surface area (m2/cm3),Grav. Surface area (m2/g),Helium void fraction (-),Pore volume (cm3/g),Porosity,Mixture,MF Methane,MF Ethane,MF Ethylene,MF Propane,MF Propylene,MF CO2,MF CO,MF N2,Total grav. Uptake (mol/kg),Total volum. uptake (cm3/cm3),Grav. Uptake Methane (mol/kg),Grav. Uptake Ethane (mol/kg),Grav. Uptake Ethylene (mol/kg),Grav. Uptake Propane (mol/kg),Grav. Uptake Propylene (mol/kg),Grav. Uptake CO2 (mol/kg),Grav. Uptake CO (mol/kg),Grav. Uptake N2 (mol/kg),Volum. Uptake Methane (cm3/cm3),Volum. Uptake Ethane (cm3/cm3),Volum. Uptake Ethylene (cm3/cm3),Volum. Uptake Propane (cm3/cm3),Volum. Uptake Propylene (cm3/cm3),Volum. Uptake CO2 (cm3/cm3),Volum. Uptake CO (cm3/cm3),Volum. Uptake N2 (cm3/cm3),Selectivity Methane/Mixture,Selectivity Ethane/Ethylene,Selectivity Propane/Propylene,Adsorbed MF Methane,Adsorbed MF Ethane,Adsorbed MF Ethylene,Adsorbed MF Propane,Adsorbed MF Propylene,Adsorbed MF CO2,Adsorbed MF CO,Adsorbed MF N2,Qst Methane (kJ/mol),Qst Ethane (kJ/mol),Qst Ethylene (kJ/mol),Qst Propane (kJ/mol),Qst Propylene (kJ/mol),Qst CO2 (kJ/mol),Qst CO (kJ/mol),Qst N2 (kJ/mol),MOF Density (g/cm3),Pore Limiting Diameter (A),Largest Cavity Diameter (A),Volum. Surface Area (m2/cm3),Grav. Surface Area (m2/g),Helium Void Fraction (-),Pore Volume (cm3/g),QST Methane (kJ/mol),QST Ethane (kJ/mol),QST Ethylene (kJ/mol),QST Propane (kJ/mol),QST Propylene (kJ/mol),QST CO2 (kJ/mol),QST CO (kJ/mol),QST N2 (kJ/mol),URL
ACOLIP,1.05,3.02,4.42,553.90066,527.769741,0.33024,0.3145,1D,1,85,6,2.5,0.1,0.3,4,2,0.1,4.0818,96.0195,1.093088371,1.379486141,0.284396248,0.202922379,0.467165328,0.646767872,0.007712103,0.000276727,25.71352204,32.45066752,6.690062197,4.773492433,10.98947374,15.21439653,0.181417479,0.006509646,0.064541847,2.021074105,1.30310856,26.7,33.7,6.9,4.9,11.4,15.8,0.1,0,22.52620197,34.7464685,31.35667913,45.93666348,43.54704227,30.57248727,18.97117589,17.99086073,[1.0-1.1),[3.0-3.2),[4.25-4.5),[500-625),[500-750),[0.3-0.35),[0.3-0.35),[22-24),[34-36),[30-32),[42-46),[42-44),[30-32),[18-19),[17-18),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ACOLIP
ACOLUB,1.084,4.34,6.94,1278.295909,1178.879724,0.455429,0.4201,1D,1,85,6,2.5,0.1,0.3,4,2,0.1,3.9055,94.9188,1.461475219,1.317188929,0.284363828,0.201775674,0.374893832,0.254763247,0.010638733,0.000354886,35.51994252,32.01318397,6.911226878,4.903990331,9.111483506,6.191809337,0.258565566,0.008625197,0.105527657,1.930022974,1.614662528,37.4,33.7,7.2,5.1,9.5,6.5,0.2,0,17.85661367,27.05848579,24.49292306,36.27294981,34.17010726,23.02445572,14.9549362,13.85335315,[1.0-1.1),[4.25-4.5),[6.5-7.0),[1200-1400),[1000-1250),[0.45-0.5),[0.4-0.5),[17-18),[27-28),[24-26),[36-38),[34-36),[20-24),[14-16),[12-14),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ACOLUB
ACUBAB,2.31,4.3,6.38,1197.27413,518.353376,0.343558,0.1487,2D,1,85,6,2.5,0.1,0.3,4,2,0.1,1.7611,91.174,0.176370695,0.739942405,0.109464846,0.278426582,0.38657435,0.069343833,0.000951072,2.86E-05,9.1308875,38.30755922,5.667104678,14.41442293,20.0133412,3.589999672,0.049237951,0.001478158,0.01964007,2.816514589,2.160722108,10,42,6.2,15.8,21.9,3.9,0,0,21.49082729,33.62357036,30.21561675,45.27394124,42.38187882,28.61121647,18.04709162,17.14867445,[2.0-4.0],[4.25-4.5),[6.0-6.5),[1000-1200),[500-750),[0.3-0.35),[0.1-0.15),[21-22),[32-34),[30-32),[42-46),[42-44),[28-30),[18-19),[17-18),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ACUBAB
ACUTOI,1.72,4.14,4.59,608.099142,353.560308,0.226631,0.1317,1D,1,85,6,2.5,0.1,0.3,4,2,0.1,1.8375,70.8355,0.368233297,0.627605196,0.112137319,0.131673323,0.238113817,0.357708864,0.001929497,7.19E-05,14.19557018,24.19448128,4.322947432,5.076069745,9.17940183,13.78984824,0.074383049,0.002771609,0.044228547,2.331981599,1.658954419,20,34.1,6.1,7.1,12.9,19.4,0.1,0,22.37171282,34.55046655,31.06389601,46.47690301,43.6036328,33.49371805,18.67670573,18.13640104,[1.6-1.8),[4.0-4.25),[4.5-4.75),[500-625),[250-500),[0.2-0.25),[0.1-0.15),[22-24),[34-36),[30-32),[46-50),[42-44),[32-34),[18-19),[18-19),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ACUTOI
ADABAK01,1.608,3.03,3.84,148.943879,92.640263,0.097703,0.0607,1D,1,85,6,2.5,0.1,0.3,4,2,0.1,1.1982,43.1794,0.81184295,0.136100096,0.077295224,1.92E-05,0.0003435,0.167809481,0.004636209,0.000168637,29.25592284,4.904561789,2.785444049,0.00069185,0.012378505,6.047254847,0.167072417,0.006077061,0.370798803,0.733659473,0.167673509,67.7,11.3,6.4,0,0,14,0.3,0,23.14231265,32.48139838,30.68646172,30.43467378,33.15639713,31.43459732,19.65603584,19.07690721,[1.6-1.8),[3.0-3.2),[3.4-4.0),[0-500),[0-250),[0-0.2),[0-0.1),[22-24),[32-34),[30-32),[30-36),[30-34),[30-32),[19-20),[19-20),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ADABAK01
ADAXEK,1.263,3.83,5.6,1092.80444,864.957075,0.309084,0.2447,1D,1,85,6,2.5,0.1,0.3,4,2,0.1,3.3969,96.1937,0.918346129,1.357172633,0.278958018,0.207986035,0.423673716,0.204593738,0.005965644,0.00018087,26.00597812,38.4327877,7.899609821,5.889805718,11.99770875,5.7937417,0.168936748,0.005121926,0.06538595,2.027145885,1.472732629,27,39.9,8.2,6.1,12.4,6,0.1,0,21.18822775,32.62214439,29.74419992,43.01799033,40.80479718,29.14478518,18.10025556,17.06467937,[1.2-1.3),[3.8-4.0),[5.5-5.75),[1000-1200),[750-1000),[0.3-0.35),[0.2-0.25),[21-22),[32-34),[28-30),[42-46),[40-42),[28-30),[18-19),[17-18),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ADAXEK
ADIQEL,1.238,3.2,4.04,552.001681,446.018694,0.283507,0.229,1D,1,85,6,2.5,0.1,0.3,4,2,0.1,4.8204,133.7178,2.024626776,1.49354849,0.463401038,0.055063863,0.217766715,0.557812374,0.007946366,0.000234211,56.16311822,41.43101407,12.85473825,1.527470787,6.040845595,15.4737074,0.220432082,0.006497014,0.127795451,1.342922913,0.758571343,42,30.9,9.6,1.1,4.5,11.5,0.1,0,27.52871665,41.76052163,38.07381467,53.66581652,51.56634293,35.95249639,23.06984465,21.82709915,[1.2-1.3),[3.2-3.4),[4.0-4.25),[500-625),[250-500),[0.25-0.3),[0.2-0.25),[24-30),[40-65],[36-40),[50-55),[50-60),[34-36),[22-26),[20-22),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ADIQEL
ADOBAX,1.638,3.62,5.28,681.531065,416.085582,0.282337,0.1723,1D,1,85,6,2.5,0.1,0.3,4,2,0.1,1.9448,71.4007,0.543928359,0.502235228,0.109341447,0.085096165,0.152122362,0.547856861,0.004087238,0.000158736,19.9693344,18.43864739,4.014271159,3.124149981,5.584894141,20.11356216,0.150055456,0.005827701,0.068518447,1.913864171,1.67817862,27.9,25.8,5.6,4.3,7.8,28.1,0.2,0,20.60781189,32.2042637,29.05064078,43.07516045,40.48544328,33.54979865,17.64929988,17.16232184,[1.6-1.8),[3.6-3.8),[5.25-5.5),[625-750),[250-500),[0.25-0.3),[0.15-0.2),[20-21),[32-34),[28-30),[42-46),[40-42),[32-34),[17-18),[17-18),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ADOBAX
ADOBOL,1.716,3.6,5.26,519.367766,302.632867,0.263983,0.1538,1D,1,85,6,2.5,0.1,0.3,4,2,0.1,1.9539,75.1576,0.500798781,0.450095947,0.099308987,0.076400528,0.139458279,0.684283963,0.003384108,0.000135728,19.26376008,17.31342139,3.820026284,2.938827914,5.364411678,26.32171361,0.130173309,0.005220913,0.060820473,1.888449199,1.643513636,25.6,23,5,3.9,7.1,35,0.1,0,21.22084921,33.13716299,29.93371036,44.12457535,41.58960455,40.44897086,17.86276865,17.32256793,[1.6-1.8),[3.6-3.8),[5.25-5.5),[500-625),[250-500),[0.25-0.3),[0.15-0.2),[21-22),[32-34),[28-30),[42-46),[40-42),[40-45),[17-18),[17-18),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ADOBOL
AFITIT,1.017,4.88,6.6,1150.758742,1131.676061,0.40199,0.3952,1D,1,85,6,2.5,0.1,0.3,4,2,0.1,3.4327,78.2372,1.214777724,1.143530193,0.238502873,0.205345909,0.368041014,0.252650648,0.009513917,0.000311219,27.68712559,26.06325703,5.435940143,4.68022902,8.388364041,5.758395194,0.216840507,0.00709327,0.096655822,1.997757544,1.673829007,35.3,33.3,6.9,5.9,10.7,7.3,0.2,0,19.19652971,30.54766062,27.28763134,41.16520328,38.59804031,27.83699192,16.01350767,14.89842777,[1.0-1.1),[4.75-5.0),[6.5-7.0),[1000-1200),[1000-1250),[0.4-0.45),[0.35-0.4),[19-20),[30-32),[27-28),[41-42),[38-40),[26-28),[16-17),[14-15),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=AFITIT
AFOTUL,1.06,6.17,8.66,1559.854242,1471.98977,0.512729,0.4837,1D,1,85,6,2.5,0.1,0.3,4,2,0.1,5.9156,140.5064,1.374363909,1.51839473,0.326523166,0.253443822,0.469785409,1.961948139,0.010727453,0.000400607,32.64373668,36.06474051,7.755541439,6.019769097,11.15829009,46.5999711,0.254797249,0.00951517,0.053407373,1.937579127,1.618465477,23.2,25.6,5.5,4.2,7.9,33.1,0.1,0,20.36296119,30.45368378,28.50279685,37.93135707,36.89783512,38.88412548,16.66676074,15.37323014,[1.0-1.1),[6.0-7.0),[8.0-10.0),[1400-1600),[1250-1500),[0.5-0.55),[0.4-0.5),[20-21),[30-32),[28-30),[36-38),[36-38),[36-40),[16-17),[15-16),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=AFOTUL
AFOVAT,1.041,6.08,8.11,1549.909606,1489.207619,0.506562,0.4866,1D,1,85,6,2.5,0.1,0.3,4,2,0.1,6.069,141.5758,1.407385629,1.538108036,0.332496114,0.249084764,0.477732754,2.053140448,0.010679103,0.000399788,32.83092584,35.88036557,7.756335606,5.810549179,11.14435751,47.89483451,0.249117826,0.009326099,0.053277841,1.927476205,1.564168012,23.1,25.3,5.4,4.1,7.8,33.8,0.1,0,19.93496997,29.9858961,27.9459364,37.78133745,36.54961774,36.47895874,16.61360072,15.36656423,[1.0-1.1),[6.0-7.0),[8.0-10.0),[1400-1600),[1250-1500),[0.5-0.55),[0.4-0.5),[19-20),[29-30),[27-28),[36-38),[36-38),[36-40),[16-17),[15-16),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=AFOVAT
AFOVIB,1.095,6.02,8.66,1539.744458,1406.415346,0.51295,0.4684,1D,1,85,6,2.5,0.1,0.3,4,2,0.1,5.7761,141.7381,1.316152266,1.50927375,0.318071741,0.266482836,0.488493366,1.867347381,0.009914131,0.000336509,32.29684406,37.03582039,7.805110158,6.539178492,11.98705838,45.82253035,0.243281241,0.008257536,0.052077656,1.977113906,1.6365596,22.7,26.1,5.5,4.6,8.4,32.3,0.1,0,20.65393518,30.73868795,28.51005276,38.1896944,37.03552379,38.38204952,16.85046636,15.46672229,[1.0-1.1),[6.0-7.0),[8.0-10.0),[1400-1600),[1250-1500),[0.5-0.55),[0.4-0.5),[20-21),[30-32),[28-30),[38-39),[36-38),[36-40),[16-17),[15-16),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=AFOVIB
AFOVOH,1.048,6.25,8.64,1538.260532,1467.598968,0.51527,0.4916,1D,1,85,6,2.5,0.1,0.3,4,2,0.1,6.0351,141.7824,1.383386211,1.51228323,0.32692119,0.253056349,0.469109669,2.079454887,0.01048287,0.000357577,32.50011066,35.52830867,7.680411136,5.945092745,11.02086751,48.85296195,0.246275719,0.008400613,0.052481625,1.927430926,1.618318904,22.9,25,5.4,4.1,7.7,34.4,0.1,0,20.53208746,30.49144239,28.44120902,37.98212884,36.92475898,39.87462878,16.79000965,15.41164936,[1.0-1.1),[6.0-7.0),[8.0-10.0),[1400-1600),[1250-1500),[0.5-0.55),[0.4-0.5),[20-21),[30-32),[28-30),[36-38),[36-38),[36-40),[16-17),[15-16),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=AFOVOH
AFOYOK,0.979,5.27,7.23,1439.574811,1469.809276,0.438046,0.4474,1D,1,85,6,2.5,0.1,0.3,4,2,0.1,3.8934,85.4714,1.514176962,1.284153963,0.282081525,0.194426555,0.365811941,0.238957071,0.013335622,0.000452914,33.24059485,28.19092001,6.192511121,4.268229218,8.030637653,5.24580375,0.292755743,0.009942788,0.112308969,1.896842241,1.594479568,38.8,32.9,7.2,4.9,9.3,6.1,0.3,0,15.51969393,23.2639798,21.23776488,30.3345965,28.71289503,19.85665336,13.23280761,12.20901557,[0.8-1.0),[5.0-6.0),[7.0-8.0),[1400-1600),[1250-1500),[0.4-0.45),[0.4-0.5),[14-16),[20-24),[20-24),[30-36),[25-30),[10-20),[10-14),[12-14),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=AFOYOK
AFUPEX,1.386,4.38,5.28,2135.074614,1540.003075,0.576889,0.4162,1D,1,85,6,2.5,0.1,0.3,4,2,0.1,7.629,237.0697,0.698631434,0.945933826,0.212864104,0.082538652,0.212104751,5.472808403,0.003935636,0.000148103,21.70993329,29.39484146,6.614740278,2.564884067,6.591143423,170.0672193,0.122299655,0.004602305,0.017789606,1.851599623,1.167422966,9.1,12.3,2.7,1,2.7,71.7,0,0,17.61856645,26.99320613,24.45000285,35.44696845,33.82477268,44.40646354,15.29136198,16.55241197,[1.3-1.4),[4.25-4.5),[5.25-5.5),[2000-2200),[1500-1750),[0.55-0.6),[0.4-0.5),[17-18),[26-27),[24-26),[30-36),[30-34),[40-45),[14-16),[16-17),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=AFUPEX
AGARUW,1.772,6.14,6.56,1244.477355,702.322516,0.400832,0.2262,1D,1,85,6,2.5,0.1,0.3,4,2,0.1,2.9645,117.7379,0.380048165,0.467590403,0.088893864,0.124035424,0.190386782,1.710169455,0.00322136,0.000123117,15.09412508,18.57098303,3.53053961,4.926234028,7.561467634,67.92168479,0.127940656,0.004889758,0.025950624,2.191707345,1.954475347,12.8,15.7,2.9,4.1,6.4,57.6,0.1,0,16.74595284,25.50041261,23.0625799,33.69730743,31.57860233,53.68651374,14.3851684,15.03762932,[1.6-1.8),[6.0-7.0),[6.5-7.0),[1200-1400),[500-750),[0.4-0.45),[0.2-0.25),[16-17),[24-26),[20-24),[30-36),[30-34),[50-60),[14-16),[15-16),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=AGARUW
AGAXOV,0.887,5.05,6.93,2615.059948,2948.202061,0.701225,0.7905,1D,1,85,6,2.5,0.1,0.3,4,2,0.1,5.5257,109.8584,2.292977457,1.721037913,0.392450885,0.225344259,0.433574852,0.43746803,0.022058365,0.000819734,45.58721764,34.21635467,7.802407235,4.48012157,8.620002393,8.697403551,0.438547486,0.016297313,0.12516977,1.827232804,1.55920661,41.4,31.1,7.1,4,7.8,7.9,0.3,0,14.43414553,22.03731862,19.97550924,29.38892314,27.67582834,18.77891089,12.23993873,11.49878879,[0.8-1.0),[5.0-6.0),[6.5-7.0),[2600-3600],[2500-3000),[0.7-0.8),[0.7-0.8),[14-16),[20-24),[15-20),[25-30),[25-30),[10-20),[10-14),[10-12),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=AGAXOV
AGUWUV,1.512,3.13,4.3,616.365075,407.61848,0.19742,0.1305,1D,1,85,6,2.5,0.1,0.3,4,2,0.1,2.5998,88.115,0.610749543,0.229147376,0.07838948,0.005642047,0.028844111,1.64256088,0.004322626,0.000185074,20.69980268,7.766367616,2.656812069,0.19122283,0.977597803,55.67042412,0.146504418,0.0062726,0.054185203,1.217996013,0.586814419,23.4,8.8,3,0.2,1.1,63.1,0.1,0,21.35974923,31.68291976,29.24432029,39.76252253,39.12612244,37.95246457,18.52832487,18.03783469,[1.5-1.6),[3.0-3.2),[4.25-4.5),[500-625),[250-500),[0-0.2),[0.1-0.15),[21-22),[30-32),[28-30),[39-40),[38-40),[36-40),[18-19),[18-19),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=AGUWUV
AHOKIR01,1.927,3.17,3.52,122.062231,63.34258,0.15103,0.0783,1D,1,85,6,2.5,0.1,0.3,4,2,0.1,5.8062,250.7831,0.002838501,0.001044692,0.000304939,1.63E-06,6.07E-05,5.801933096,3.87E-05,1.63E-06,0.122600857,0.045122461,0.013170976,7.03E-05,0.002620127,250.5977523,0.001670551,7.03E-05,8.63E-05,1.42745862,0.080536149,0,0,0,0,0,99.9,0,0,25.23428877,37.02973419,34.73162989,40.98804755,42.5581044,46.96170271,21.42571847,20.21763655,[1.8-2.0),[3.0-3.2),[3.4-4.0),[0-500),[0-250),[0-0.2),[0-0.1),[24-30),[36-38),[34-36),[40-41),[42-44),[45-50),[21-22),[20-22),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=AHOKIR01
